Epigenome ID (EID)	ORDER	Original Roadmap	Class	Class II	Class III	COLOR	Epigenome Mnemonic	Standardized Epigenome name
E110	97	Digestive	Digestive	Stomach		#C58DAA	GI.STMC.MUC	Stomach Mucosa
E094	100	Digestive	Digestive	Stomach		#C58DAA	GI.STMC.GAST	Gastric
E013	18	ES-deriv	Embryo	ES-deriv		#4178AE	ESDR.CD56.MESO	hESC Derived CD56+ Mesoderm Cultured Cells
E012	19	ES-deriv	Embryo	ES-deriv		#4178AE	ESDR.CD56.ECTO	hESC Derived CD56+ Ectoderm Cultured Cells
E011	20	ES-deriv	Embryo	ES-deriv		#4178AE	ESDR.CD184.ENDO	hESC Derived CD184+ Endoderm Cultured Cells
E004	21	ES-deriv	Embryo	ES-deriv		#4178AE	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells
E005	22	ES-deriv	Embryo	ES-deriv		#4178AE	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells
E080	106	Other	Endocrine	Adrenal	Fetal	#999999	ADRL.GLND.FET	Fetal Adrenal Gland
E119	117	ENCODE2012	Epithelial	Breast		#000000	BRST.HMEC	HMEC Mammary Epithelial Primary Cells
E028	58	Epithelial	Epithelial	Breast		#FF9D0C	BRST.HMEC.35	Breast variant Human Mammary Epithelial Cells (vHMEC)
E027	59	Epithelial	Epithelial	Breast		#FF9D0C	BRST.MYO	Breast Myoepithelial Primary Cells
E127	125	ENCODE2012	Epithelial	Skin		#000000	SKIN.NHEK	NHEK-Epidermal Keratinocyte Primary Cells
E059	54	Epithelial	Epithelial	Skin		#FF9D0C	SKIN.PEN.FRSK.MEL.01	Foreskin Melanocyte Primary Cells skin01
E061	55	Epithelial	Epithelial	Skin		#FF9D0C	SKIN.PEN.FRSK.MEL.03	Foreskin Melanocyte Primary Cells skin03
E057	56	Epithelial	Epithelial	Skin		#FF9D0C	SKIN.PEN.FRSK.KER.02	Foreskin Keratinocyte Primary Cells skin02
E058	57	Epithelial	Epithelial	Skin		#FF9D0C	SKIN.PEN.FRSK.KER.03	Foreskin Keratinocyte Primary Cells skin03
E122	120	ENCODE2012	Epithelial	Umbilical Vein		#000000	VAS.HUVEC	HUVEC Umbilical Vein Endothelial Primary Cells
E002	2	ESC	ESC			#924965	ESC.WA7	ES-WA7 Cells
E008	3	ESC	ESC			#924965	ESC.H9	H9 Cells
E001	4	ESC	ESC			#924965	ESC.I3	ES-I3 Cells
E015	5	ESC	ESC			#924965	ESC.HUES6	HUES6 Cells
E014	6	ESC	ESC			#924965	ESC.HUES48	HUES48 Cells
E016	7	ESC	ESC			#924965	ESC.HUES64	HUES64 Cells
E003	8	ESC	ESC			#924965	ESC.H1	H1 Cells
E024	9	ESC	ESC			#924965	ESC.4STAR	ES-UCSF4 Cells
E097	104	Other	Female Reproductive	Ovary		#999999	OVRY	Ovary
E117	115	ENCODE2012	Female Reproductive	Uterus	Cervix	#000000	CRVX.HELAS3.CNCR	HeLa-S3 Cervical Carcinoma Cell Line
E083	80	Heart	Heart		Fetal	#D56F80	HRT.FET	Fetal Heart
E104	81	Heart	Heart			#D56F80	HRT.ATR.R	Right Atrium
E095	82	Heart	Heart			#D56F80	HRT.VENT.L	Left Ventricle
E105	83	Heart	Heart			#D56F80	HRT.VNT.R	Right Ventricle
E113	111	Other	Immune Organ	Spleen		#999999	SPLN	Spleen
E093	63	Thymus	Immune Organ	Thymus	Fetal	#DAB92E	THYM.FET	Fetal Thymus
E112	62	Thymus	Immune Organ	Thymus		#DAB92E	THYM	Thymus
E020	10	iPSC	iPSC			#69608A	IPSC.20B	iPS-20b Cells
E019	11	iPSC	iPSC			#69608A	IPSC.18	iPS-18 Cells
E018	12	iPSC	iPSC			#69608A	IPSC.15b	iPS-15b Cells
E021	13	iPSC	iPSC			#69608A	IPSC.DF.6.9	iPS DF 6.9 Cells
E022	14	iPSC	iPSC			#69608A	IPSC.DF.19.11	iPS DF 19.11 Cells
E118	116	ENCODE2012	Liver	Cancer Cell Line		#000000	LIV.HEPG2.CNCR	HepG2 Hepatocellular Carcinoma Cell Line
E066	108	Other	Liver			#999999	LIV.ADLT	Liver
E114	112	ENCODE2012	Lung	Cancer Cell Line		#000000	LNG.A549.ETOH002.CNCR	A549 EtOH 0.02pct Lung Carcinoma Cell Line
E088	103	Other	Lung		Fetal	#999999	LNG.FET	Fetal Lung
E096	110	Other	Lung			#999999	LNG	Lung
E010	17	ES-deriv	Nervous	ES-deriv		#4178AE	ESDR.H9.NEUR	H9 Derived Neuron Cultured Cells
E099	101	Other	Placenta			#999999	PLCNT.AMN	Placenta Amnion
E091	107	Other	Placenta			#999999	PLCNT.FET	Placenta
E089	78	Muscle	Skeletal Muscle	Fetal		#C2655D	MUS.TRNK.FET	Fetal Muscle Trunk
E090	79	Muscle	Skeletal Muscle	Fetal		#C2655D	MUS.LEG.FET	Fetal Muscle Leg
E120	118	ENCODE2012	Skeletal Muscle			#000000	MUS.HSMM	HSMM Skeletal Muscle Myoblasts Cells
E121	119	ENCODE2012	Skeletal Muscle			#000000	MUS.HSMMT	HSMM cell derived Skeletal Muscle Myotubes Cells
E100	75	Muscle	Skeletal Muscle			#C2655D	MUS.PSOAS	Psoas Muscle
E108	76	Muscle	Skeletal Muscle			#C2655D	MUS.SKLT.F	Skeletal Muscle Female
E107	77	Muscle	Skeletal Muscle			#C2655D	MUS.SKLT.M	Skeletal Muscle Male
E052	51	Myosat	Skeletal Muscle			#E67326	MUS.SAT	Muscle Satellite Cultured Cells
E078	85	Sm. Muscle	Smooth Muscle	Digestive		#F182BC	GI.DUO.SM.MUS	Duodenum Smooth Muscle
E076	86	Sm. Muscle	Smooth Muscle	Digestive		#F182BC	GI.CLN.SM.MUS	Colon Smooth Muscle
E103	87	Sm. Muscle	Smooth Muscle	Digestive		#F182BC	GI.RECT.SM.MUS	Rectal Smooth Muscle
E111	88	Sm. Muscle	Smooth Muscle	Digestive		#F182BC	GI.STMC.MUS	Stomach Smooth Muscle
E035	40	HSC & B-cell	Stem Cell	Hematopoietic Stem Cell		#678C69	BLD.CD34.PC	Primary hematopoietic Stem Cell
E051	41	HSC & B-cell	Stem Cell	Hematopoietic Stem Cell		#678C69	BLD.MOB.CD34.PC.M	Primary hematopoietic Stem Cell G-CSF-mobilized Male
E050	42	HSC & B-cell	Stem Cell	Hematopoietic Stem Cell		#678C69	BLD.MOB.CD34.PC.F	Primary hematopoietic Stem Cell G-CSF-mobilized Female
E036	43	HSC & B-cell	Stem Cell	Hematopoietic Stem Cell		#678C69	BLD.CD34.CC	Primary hematopoietic Stem Cell short term culture
E006	23	ES-deriv	Stem Cell	Mysenchymal Stem Cell	ES-deriv	#4178AE	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cell
E026	47	Mesench	Stem Cell	Mysenchymal Stem Cell		#B65C73	STRM.MRW.MSC	Bone Marrow Derived Cultured Mesenchymal Stem Cell
E049	48	Mesench	Stem Cell	Mysenchymal Stem Cell		#B65C73	STRM.CHON.MRW.DR.MSC	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells
E025	49	Mesench	Stem Cell	Mysenchymal Stem Cell		#B65C73	FAT.ADIP.DR.MSC	Adipose Derived Mesenchymal Stem Cell Cultured Cells
E023	50	Mesench	Stem Cell	Mysenchymal Stem Cell		#B65C73	FAT.MSC.DR.ADIP	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells
E007	15	ES-deriv	Stem Cell	Neuronal Progenitor	ES-deriv	#4178AE	ESDR.H1.NEUR.PROG	H1 Derived Neuronal Progenitor Cultured Cells
E009	16	ES-deriv	Stem Cell	Neuronal Progenitor	ES-deriv	#4178AE	ESDR.H9.NEUR.PROG	H9 Derived Neuronal Progenitor Cultured Cells
E054	60	Neurosph	Stem Cell	Neuronal Progenitor		#FFD924	BRN.GANGEM.DR.NRSPHR	Ganglion Eminence derived primary cultured neurospheres
E053	61	Neurosph	Stem Cell	Neuronal Progenitor		#FFD924	BRN.CRTX.DR.NRSPHR	Cortex derived primary cultured neurospheres
E086	102	Other	Urinary	Kidney	Fetal	#999999	KID.FET	Fetal Kidney
